cod_zona,glosa_zona,votos_2016,votos_2017,votos_2020,electores_2016,electores_2017,electores_2020,electores_2021,part_2016,part_2017,part_2020
2585,LAS CABRAS,10043,8592,8668,18970,19230,19945,20393,0.5294148655772272,0.446801872074883,0.4345951366257208
2771,LAS CONDES,89338,156112,166475,246481,251198,267875,269517,0.3624539011120533,0.6214699161617528,0.6214652356509566
2682,LAUTARO,12254,14701,12910,32327,33042,34059,34252,0.3790639403594519,0.4449185884631681,0.3790481223758772
2654,LEBU,9504,9776,8524,21406,21627,22183,22309,0.4439876670092497,0.4520275581449115,0.3842582157508002
2627,LICANTEN,4573,3298,2929,6827,6787,6838,6863,0.6698403398271568,0.4859289818771179,0.4283416203568295
2576,LIMACHE,13560,17408,20221,36327,37014,38584,39423,0.3732760756462136,0.4703085319068461,0.5240773377565829
2634,LINARES,26497,35762,36880,79055,80185,81791,81744,0.3351717158939979,0.4459936397081749,0.4509053563350491
2598,LITUECHE,4098,2817,2529,5899,5912,6158,6511,0.6946940159349042,0.4764884979702299,0.4106852874309841
2713,LLANQUIHUE,8517,7592,7826,15420,15642,16021,16179,0.5523346303501946,0.4853599283979031,0.4884838649272829
2571,LLAILLAY,8280,9631,11625,19766,20097,20722,20915,0.4189011433775169,0.4792257550878241,0.5609979731686131
2772,LO BARNECHEA,30366,46626,55257,71512,74117,81361,82669,0.4246280344557557,0.629086444405467,0.6791583190963729
2773,LO ESPEJO,22542,39777,50691,93841,93275,91888,90849,0.2402148314702529,0.4264486732779416,0.5516607173950897
2774,LO PRADO,22603,43141,51357,90731,90439,89765,88885,0.2491210280940362,0.4770176583111269,0.5721272210772573
2605,LOLOL,4215,2952,2433,6482,6554,6714,6889,0.6502622647331071,0.4504119621605127,0.3623771224307417
2683,LONCOCHE,8941,9539,8237,22151,22362,23045,23193,0.4036386619114261,0.4265718629818442,0.3574311130397049
2636,LONGAVI,14829,10963,7859,25285,25681,26445,26725,0.5864741941862764,0.4268914761886219,0.2971828322934392
