COD_PACTO,COD_ZONA,LETRA_PACTO,GLOSA_PACTO,COD_IMFD,GLOSA_IMFD,COD_SERVEL,GLOSA_SERVEL
280,6008,YU,INDEPENDIENTES Y MOVIMIENTOS SOCIALES DEL APRUEBO (D8),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
175,6026,G,INSULARES E INDEPENDIENTES (D26),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
272,6010,ZN,LA LISTA DEL PUEBLO (D10),10,LA LISTA DEL PUEBLO Y OTROS,5,INDEPENDIENTES
269,6013,ZN,LA LISTA DEL PUEBLO (D13),10,LA LISTA DEL PUEBLO Y OTROS,5,INDEPENDIENTES
203,6017,ZN,LA LISTA DEL PUEBLO (D17),10,LA LISTA DEL PUEBLO Y OTROS,5,INDEPENDIENTES
271,6003,ZN,LA LISTA DEL PUEBLO (D3),10,LA LISTA DEL PUEBLO Y OTROS,5,INDEPENDIENTES
266,6007,ZN,LA LISTA DEL PUEBLO (D7),10,LA LISTA DEL PUEBLO Y OTROS,5,INDEPENDIENTES
270,6008,ZN,LA LISTA DEL PUEBLO (D8),10,LA LISTA DEL PUEBLO Y OTROS,5,INDEPENDIENTES
187,6015,YP,LA LISTA DEL PUEBLO 100% INDEPENDIENTES (D15),10,LA LISTA DEL PUEBLO Y OTROS,5,INDEPENDIENTES
285,6012,YL,LA LISTA DEL PUEBLO DISTRITO 12 (D12),10,LA LISTA DEL PUEBLO Y OTROS,5,INDEPENDIENTES
178,6014,ZN,LA LISTA DEL PUEBLO DISTRITO 14 (D14),10,LA LISTA DEL PUEBLO Y OTROS,5,INDEPENDIENTES
294,6009,N,LA LISTA DEL PUEBLO DISTRITO 9 (D9),10,LA LISTA DEL PUEBLO Y OTROS,5,INDEPENDIENTES
170,6018,ZD,LA LISTA DEL PUEBLO MAULE SUR (D18),10,LA LISTA DEL PUEBLO Y OTROS,5,INDEPENDIENTES
296,6020,ZN,LA LISTA DEL PUEBLO(D20),10,LA LISTA DEL PUEBLO Y OTROS,5,INDEPENDIENTES
182,6001,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6002,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6003,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6004,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6005,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6006,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6007,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6008,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6009,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6010,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6011,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6012,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6013,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6014,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6015,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6016,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6017,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6018,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6019,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6020,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6021,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6022,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6023,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6024,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6025,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6026,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6027,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
182,6028,YB,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO,2,LISTA DEL APRUEBO
214,6005,WD,LISTA DEL PUEBLO - MOVIMIENTO TERRITORIAL CONSTITUYENTE (D5),10,LA LISTA DEL PUEBLO Y OTROS,5,INDEPENDIENTES
185,6025,Q,LISTA DEL PUEBLO TRANSFORMANDO DESDE EL WILLI (D25),10,LA LISTA DEL PUEBLO Y OTROS,5,INDEPENDIENTES
202,6024,XD,LISTA DEL PUEBLO-RIOS INDEPENDIENTES (D24),10,LA LISTA DEL PUEBLO Y OTROS,5,INDEPENDIENTES
234,6007,YI,LISTA INDEPENDIENTE PARTO SOCIAL (D7),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
293,6013,XH,LISTA POR LA JUSTICIA SOCIAL (D13),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
201,6007,YT,LISTA SOCIAL PODER CONSTITUYENTE A TODA COSTA (D7),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
212,6028,XR,MAGALLANICOS NO NEUTRALES (D28),9,INDEPENDIENTES POR LA NUEVA CONSTITUCION Y OTROS,5,INDEPENDIENTES
183,6003,ZZ,MOVIMIENTO INDEPENDIENTES DEL NORTE (D3),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
180,6011,XT,MOVIMIENTO SOCIAL CONSTITUYENTE / LA LISTA DEL PUEBLO (D11),10,LA LISTA DEL PUEBLO Y OTROS,5,INDEPENDIENTES
254,6022,ZE,MOVIMIENTO SOCIAL LA LISTA DEL PUEBLO (D22),10,LA LISTA DEL PUEBLO Y OTROS,5,INDEPENDIENTES
251,6010,ZL,MOVIMIENTOS SOCIALES : UNIDAD DE INDEPENDIENTES (D10),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
153,6015,P,MOVIMIENTOS SOCIALES AUTONOMOS (D15),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
249,6006,YK,MOVIMIENTOS SOCIALES INDEPENDIENTES (D6),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
248,6009,ZH,MOVIMIENTOS SOCIALES PLURINACIONALES E INDEPENDIENTES (D9),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
247,6002,XB,NOBLES HIJXOS DE TARAPACA (D2),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
236,6025,ZQ,NUESTRAS VOCES (D25),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
264,6022,ZK,ORGANIZACIONES SOCIALES Y TERRITORIALES DEL WALLMAPU (D22),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
172,6023,ZK,ORGANIZACIONES SOCIALES Y TERRITORIALES DEL WALLMAPU (D23),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
231,6001,ZR,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,5,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
231,6003,ZR,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,5,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
231,6007,ZR,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,5,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
231,6008,ZR,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,5,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
231,6009,ZR,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,5,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
231,6010,ZR,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,5,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
231,6012,ZR,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,5,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,4,"ECOLOGISTAS, HUMANISTAS Y OTROS"
